Table showing signal significance of pions passing various cuts: 
pt    p     eta     mass 
  0.000000   0.000000   0.000000   0.000000 
  0.125620   0.031221   0.001837   0.000000 
  0.077399   0.049536   0.000000   0.000000 
  0.125874   0.020979   0.000000   0.000000 
  0.084211   0.026316   0.000000   0.000000 
  0.019763   0.009881   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.148148   0.148148   0.000000   0.000000 
  0.125000   0.055556   0.000000   0.000000 
  0.134301   0.013584   0.002779   0.000000 
  0.060000   0.020000   0.000000   0.000000 
  0.084034   0.014306   0.004802   0.000200 
  0.066116   0.033058   0.000000   0.000000 
  0.076190   0.000000   0.000000   0.000000 
  0.064987   0.003979   0.000000   0.000000 
  0.010417   0.010417   0.000000   0.000000 
  0.149383   0.012346   0.002469   0.000000 
  0.053333   0.026667   0.000000   0.000000 
  0.167832   0.020979   0.000000   0.000000 
  0.064286   0.004762   0.000000   0.000000 
  0.148148   0.018182   0.001684   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.110000   0.008889   0.000000   0.000000 
  0.097826   0.021739   0.003623   0.000000 
  0.188828   0.018883   0.004196   0.000000 
  0.060000   0.015000   0.006667   0.000000 
  0.036923   0.006154   0.000000   0.000000 
  0.125000   0.004167   0.000000   0.000000 
  0.035156   0.015625   0.015625   0.000000 
  0.073099   0.026316   0.000000   0.000000 
  0.023529   0.000000   0.000000   0.000000 
  0.162996   0.022167   0.008693   0.000145 
  0.160882   0.037665   0.011299   0.000000 
  0.062016   0.008859   0.003322   0.000000 
  0.059259   0.044444   0.000000   0.000000 
  0.025974   0.000000   0.000000   0.000000 
  0.050000   0.050000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.078125   0.078125   0.007812   0.000000 
  0.070069   0.030277   0.005190   0.000000 
  0.156624   0.015190   0.004051   0.000000 
  0.120000   0.021875   0.012500   0.000000 
  0.079051   0.000000   0.000000   0.000000 
  0.107843   0.009804   0.001634   0.000000 
  0.079545   0.030303   0.000000   0.000000 
  0.161384   0.039616   0.014679   0.000083 
  0.127137   0.023504   0.005698   0.000000 
  0.138353   0.003930   0.000175   0.000000 
  0.136752   0.024929   0.008547   0.000000 
  0.111111   0.111111   0.000000   0.000000 
  0.200179   0.028807   0.005761   0.000000 
  0.132826   0.020871   0.002385   0.000000 
  0.095238   0.019048   0.004762   0.000000 
  0.059524   0.011905   0.000000   0.000000 
  0.019290   0.006173   0.001543   0.000000 
  0.026087   0.003478   0.000000   0.000000 
  0.015789   0.000000   0.000000   0.000000 
  0.017857   0.000000   0.000000   0.000000 
  0.083333   0.027778   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.049808   0.006386   0.005109   0.000000 
  0.165771   0.011649   0.001120   0.000000 
  0.131082   0.017702   0.005719   0.000000 
  0.102749   0.012472   0.001417   0.000000 
  0.066038   0.013062   0.003266   0.000000 
  0.100153   0.020031   0.006438   0.000307 
  0.074074   0.027778   0.000000   0.000000 
  0.011111   0.000000   0.000000   0.000000 
  0.164736   0.036465   0.014586   0.000343 
  0.025000   0.000000   0.000000   0.000000 
  0.123529   0.028361   0.004412   0.000000 
  0.081818   0.036364   0.002273   0.000000 
  0.107143   0.044643   0.000000   0.000000 
  0.028571   0.028571   0.000000   0.000000 
  0.083333   0.083333   0.000000   0.000000 
  0.109459   0.002703   0.000676   0.000000 
  0.008333   0.004167   0.000000   0.000000 
  0.166667   0.050000   0.008333   0.000000 
  0.019231   0.004808   0.000000   0.000000 
  0.033333   0.012500   0.000000   0.000000 
  0.091935   0.029570   0.006720   0.000000 
  0.093284   0.016791   0.005597   0.000000 
  0.099668   0.038760   0.002769   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.008333   0.000000   0.000000   0.000000 
  0.096748   0.023650   0.010750   0.000000 
  0.272331   0.054466   0.010893   0.000099 
  0.088326   0.008264   0.002066   0.000000 
  0.189401   0.019874   0.003613   0.000000 
  0.063158   0.031579   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.153884   0.023449   0.003908   0.000000 
  0.136364   0.038961   0.006494   0.000000 
  0.135815   0.012072   0.003622   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.143369   0.025602   0.006400   0.000000 
  0.091429   0.028571   0.004286   0.000000 
  0.073303   0.014253   0.000452   0.000000 
  0.073469   0.006531   0.000816   0.000000 
  0.044444   0.016667   0.000000   0.000000 
  0.034014   0.006803   0.000000   0.000000 
  0.080000   0.080000   0.000000   0.000000 
  0.066986   0.021531   0.004785   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.118577   0.017292   0.007411   0.000000 
  0.074074   0.037037   0.003086   0.000000 
  0.125000   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.082418   0.049451   0.000000   0.000000 
  0.105500   0.029085   0.006346   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.084375   0.011905   0.001786   0.000149 
  0.149167   0.037970   0.014206   0.000129 
  0.114274   0.022957   0.006428   0.000102 
  0.222819   0.022515   0.006241   0.000090 
  0.065359   0.019608   0.000000   0.000000 
  0.159184   0.012245   0.000000   0.000000 
  0.079365   0.041667   0.001984   0.000000 
  0.138889   0.014286   0.000198   0.000000 
  0.107843   0.008021   0.003565   0.000000 
  0.148276   0.023645   0.007225   0.000000 
  0.106509   0.017751   0.011834   0.000000 
  0.178188   0.025887   0.008437   0.000048 
  0.090909   0.049495   0.002020   0.000000 
  0.072062   0.006652   0.000000   0.000000 
  0.041026   0.005128   0.000000   0.000000 
  0.157895   0.078947   0.013158   0.000000 
  0.123349   0.010866   0.002222   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.116667   0.055556   0.011111   0.000000 
  0.234375   0.234375   0.000000   0.000000 
  0.176577   0.022640   0.012064   0.000078 
  0.166331   0.056452   0.012097   0.000000 
  0.117117   0.021021   0.004505   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.193906   0.149584   0.024931   0.000000 
  0.072464   0.010870   0.000000   0.000000 
  0.189394   0.047348   0.017045   0.000000 
  0.104762   0.000000   0.000000   0.000000 
  0.083916   0.010490   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.031373   0.007843   0.000000   0.000000 
  0.048611   0.027778   0.000000   0.000000 
  0.040724   0.007541   0.003394   0.000000 
  0.119850   0.017478   0.004370   0.000000 
  0.023669   0.005917   0.000000   0.000000 
  0.100932   0.014493   0.007764   0.000000 
  0.142693   0.029919   0.006904   0.000000 
  0.160714   0.107143   0.000000   0.000000 
  0.017857   0.011905   0.001984   0.000000 
  0.033088   0.007353   0.000000   0.000000 
  0.087843   0.007059   0.000000   0.000000 
  0.095930   0.016279   0.002326   0.000581 
  0.140351   0.056287   0.004386   0.000000 
  0.051948   0.000000   0.000000   0.000000 
  0.080713   0.002096   0.000000   0.000000 
  0.058480   0.017544   0.000000   0.000000 
  0.133603   0.040486   0.004217   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.107790   0.011322   0.001359   0.000453 
  0.041667   0.041667   0.000000   0.000000 
  0.157262   0.029602   0.002775   0.000000 
  0.124294   0.028546   0.004758   0.000000 
  0.117057   0.026756   0.002787   0.000000 
  0.013393   0.013393   0.000000   0.000000 
  0.081674   0.014480   0.002036   0.000000 
  0.062500   0.007812   0.003906   0.000000 
  0.105263   0.042105   0.000000   0.000000 
  0.148760   0.019547   0.004024   0.000000 
  0.056818   0.033144   0.001894   0.000000 
  0.128959   0.027149   0.002262   0.000000 
  0.062993   0.016734   0.002988   0.000000 
  0.126667   0.016667   0.004167   0.000000 
  0.040816   0.040816   0.000000   0.000000 
  0.067308   0.012944   0.001849   0.000000 
  0.061538   0.020513   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.053476   0.007130   0.000000   0.000000 
  0.071895   0.024510   0.001634   0.000000 
  0.147789   0.034522   0.004603   0.000164 
  0.000000   0.000000   0.000000   0.000000 
  0.143667   0.042533   0.002836   0.000000 
  0.018182   0.009091   0.000000   0.000000 
  0.090000   0.026667   0.000000   0.000000 
  0.116667   0.071429   0.007143   0.000000 
  0.133958   0.037453   0.011236   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.125786   0.038729   0.011586   0.000000 
  0.028571   0.004762   0.000000   0.000000 
  0.033333   0.008333   0.000000   0.000000 
  0.167702   0.024845   0.006211   0.000000 
  0.082954   0.008133   0.001952   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.110918   0.006944   0.003086   0.000000 
  0.097752   0.011975   0.004888   0.000000 
  0.085217   0.043478   0.000000   0.000000 
  0.141414   0.024242   0.009848   0.000000 
  0.124487   0.010036   0.002851   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.152926   0.034131   0.007979   0.000000 
  0.107463   0.026866   0.004264   0.000000 
  0.071429   0.017857   0.017857   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.017391   0.000000   0.000000   0.000000 
  0.180952   0.032143   0.004762   0.000000 
  0.040816   0.010204   0.001134   0.000000 
  0.126103   0.020429   0.000757   0.000000 
  0.075630   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.050000   0.016667   0.000000   0.000000 
  0.078947   0.005263   0.000000   0.000000 
  0.100779   0.003895   0.000974   0.000000 
  0.036036   0.018769   0.006757   0.000000 
  0.241021   0.042254   0.007746   0.000176 
  0.000000   0.000000   0.000000   0.000000 
  0.062937   0.005245   0.000000   0.000000 
  0.088235   0.029412   0.000000   0.000000 
  0.111455   0.006192   0.000000   0.000000 
  0.137147   0.019984   0.005486   0.000000 
  0.077922   0.012987   0.000000   0.000000 
  0.083333   0.037500   0.000000   0.000000 
  0.087432   0.018119   0.002301   0.000288 
  0.000000   0.000000   0.000000   0.000000 
  0.119708   0.016381   0.007056   0.000252 
  0.204354   0.057422   0.010321   0.000188 
  0.051282   0.019231   0.006410   0.000000 
  0.037037   0.029630   0.001852   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.032440   0.003310   0.000331   0.000000 
  0.066667   0.000000   0.000000   0.000000 
  0.088670   0.024631   0.007389   0.000000 
  0.083632   0.041816   0.023895   0.000000 
  0.166667   0.166667   0.000000   0.000000 
  0.120120   0.036036   0.009009   0.000000 
  0.119048   0.017007   0.001701   0.000000 
  0.077447   0.008511   0.000851   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.047059   0.000000   0.000000   0.000000 
  0.212500   0.019444   0.010417   0.000000 
  0.162963   0.004444   0.001481   0.000000 
  0.081136   0.012170   0.002028   0.000000 
  0.176582   0.028797   0.003165   0.000000 
  0.099174   0.033058   0.000000   0.000000 
  0.067600   0.019600   0.002400   0.000000 
  0.011029   0.000000   0.000000   0.000000 
  0.078125   0.046875   0.000000   0.000000 
  0.130392   0.020588   0.007059   0.000098 
  0.063158   0.015789   0.000000   0.000000 
  0.105820   0.026455   0.005291   0.000000 
  0.106509   0.011834   0.000000   0.000000 
  0.071429   0.015152   0.004329   0.000000 
  0.078571   0.002857   0.000476   0.000000 
  0.140496   0.025801   0.009407   0.000067 
  0.089947   0.012698   0.002116   0.000000 
  0.093513   0.015780   0.003507   0.000000 
  0.116626   0.030545   0.013537   0.000174 
  0.025210   0.000000   0.000000   0.000000 
  0.121212   0.040404   0.010101   0.000000 
  0.044444   0.022222   0.011111   0.000000 
  0.061813   0.021978   0.003091   0.000000 
  0.029412   0.000000   0.000000   0.000000 
  0.035556   0.008889   0.000000   0.000000 
  0.051282   0.019231   0.000000   0.000000 
  0.035503   0.011834   0.000000   0.000000 
  0.094769   0.012923   0.000000   0.000000 
  0.054945   0.004710   0.000785   0.000000 
  0.080586   0.021368   0.003053   0.000000 
  0.089859   0.010270   0.001284   0.000000 
  0.044444   0.011111   0.000000   0.000000 
  0.142399   0.019936   0.003560   0.000000 
  0.077922   0.025974   0.012987   0.000000 
  0.197581   0.040323   0.006048   0.001008 
  0.147321   0.035813   0.010913   0.000099 
  0.017647   0.000000   0.000000   0.000000 
  0.175574   0.022727   0.005245   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.049970   0.021416   0.001785   0.000000 
  0.100904   0.008479   0.001696   0.000000 
  0.081720   0.004032   0.000000   0.000000 
  0.021875   0.003750   0.000000   0.000000 
  0.033333   0.001667   0.000000   0.000000 
  0.048044   0.012494   0.002677   0.000000 
  0.034974   0.008071   0.001614   0.000000 
  0.078788   0.010390   0.001732   0.000000 
  0.048696   0.003478   0.001739   0.000000 
  0.027778   0.006944   0.000000   0.000000 
  0.019841   0.015873   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.116667   0.016667   0.000000   0.000000 
  0.142857   0.047619   0.014286   0.000000 
  0.200000   0.029630   0.006349   0.000529 
  0.000000   0.000000   0.000000   0.000000 
  0.119506   0.011491   0.002873   0.000000 
  0.100000   0.000000   0.000000   0.000000 
  0.186364   0.032590   0.011321   0.000086 
  0.000000   0.000000   0.000000   0.000000 
  0.011765   0.000000   0.000000   0.000000 
  0.127488   0.020408   0.005039   0.000000 
  0.026667   0.013333   0.000000   0.000000 
  0.108932   0.019971   0.005447   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.117343   0.026172   0.003451   0.000288 
  0.039867   0.013843   0.003322   0.000000 
  0.085612   0.028537   0.000000   0.000000 
  0.071429   0.071429   0.017857   0.000000 
  0.071429   0.001832   0.000000   0.000000 
  0.120000   0.080000   0.000000   0.000000 
  0.058824   0.044118   0.011029   0.000000 
  0.038781   0.008310   0.000000   0.000000 
  0.157463   0.042100   0.014762   0.000000 
  0.042105   0.015038   0.002256   0.000000 
  0.065644   0.017050   0.005115   0.000000 
  0.045351   0.009070   0.000000   0.000000 
  0.035156   0.007812   0.000000   0.000000 
  0.133800   0.017088   0.004101   0.000000 
  0.102564   0.061538   0.010256   0.000000 
  0.109954   0.018742   0.005831   0.000104 
  0.071006   0.005917   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.113395   0.020889   0.006631   0.000000 
  0.017078   0.002846   0.000949   0.000000 
  0.096774   0.026882   0.001075   0.000000 
