Table showing signal significance of pions passing various cuts: 
pt    p     eta     mass 
  0.000000   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.055556   0.000000   0.000000   0.000000 
  0.091390   0.017316   0.006417   0.000000 
  0.181165   0.019860   0.009348   0.000000 
  0.038095   0.004762   0.000000   0.000000 
  0.130208   0.032609   0.010872   0.000000 
  0.226264   0.020133   0.004807   0.000000 
  0.023923   0.019139   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.023810   0.023810   0.000000   0.000000 
  0.122807   0.026316   0.000000   0.000000 
  0.050000   0.025000   0.004167   0.000000 
  0.074074   0.007937   0.000000   0.000000 
  0.132051   0.014621   0.003694   0.000000 
  0.102554   0.021114   0.002829   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.041026   0.041026   0.000000   0.000000 
  0.129032   0.026882   0.009677   0.000000 
  0.078947   0.011513   0.000732   0.000000 
  0.041667   0.020833   0.000000   0.000000 
  0.066207   0.011034   0.000000   0.000000 
  0.089126   0.008529   0.000000   0.000000 
  0.083333   0.083333   0.000000   0.000000 
  0.117188   0.062500   0.015625   0.000000 
  0.016304   0.000000   0.000000   0.000000 
  0.070258   0.007286   0.002087   0.000000 
  0.034722   0.034722   0.000000   0.000000 
  0.037634   0.002151   0.000000   0.000000 
  0.106178   0.007722   0.003861   0.000000 
  0.053763   0.016129   0.001075   0.000000 
  0.023392   0.017544   0.000000   0.000000 
  0.064103   0.024420   0.000000   0.000000 
  0.080000   0.000000   0.000000   0.000000 
  0.221538   0.092308   0.027692   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.133333   0.016667   0.011111   0.000000 
  0.156807   0.042766   0.003326   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.115385   0.028846   0.000000   0.000000 
  0.048011   0.006859   0.000000   0.000000 
  0.032051   0.009615   0.000000   0.000000 
  0.016529   0.000000   0.000000   0.000000 
  0.135768   0.030498   0.010322   0.000000 
  0.149354   0.028941   0.008269   0.000000 
  0.074074   0.011111   0.000000   0.000000 
  0.107692   0.016026   0.002564   0.000000 
  0.090000   0.003462   0.000000   0.000000 
  0.120313   0.026250   0.007502   0.000000 
  0.072464   0.021739   0.000000   0.000000 
  0.007407   0.000000   0.000000   0.000000 
  0.061224   0.030612   0.000000   0.000000 
  0.146627   0.021921   0.006822   0.000000 
  0.062500   0.062500   0.000000   0.000000 
  0.098701   0.007792   0.003247   0.000000 
  0.027778   0.027778   0.000000   0.000000 
  0.046296   0.009259   0.000000   0.000000 
  0.126050   0.033613   0.008403   0.000000 
  0.144605   0.046719   0.004449   0.000000 
  0.103755   0.020751   0.001976   0.000000 
  0.171123   0.066845   0.000000   0.000000 
  0.088889   0.014815   0.000000   0.000000 
  0.161576   0.024665   0.003855   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.014286   0.014286   0.000000   0.000000 
  0.105585   0.007780   0.000000   0.000000 
  0.081818   0.018182   0.000000   0.000000 
  0.193843   0.031265   0.011552   0.000000 
  0.081250   0.017045   0.009091   0.000000 
  0.057600   0.004800   0.000000   0.000000 
  0.100000   0.019048   0.004762   0.000000 
  0.097546   0.010974   0.001372   0.000000 
  0.207543   0.024668   0.002372   0.000000 
  0.207232   0.034506   0.009527   0.000000 
  0.131837   0.032653   0.003673   0.000000 
  0.097633   0.035503   0.000000   0.000000 
  0.044643   0.004464   0.000000   0.000000 
  0.177894   0.030835   0.007117   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.128205   0.057692   0.000000   0.000000 
  0.036364   0.007273   0.000000   0.000000 
  0.036765   0.000000   0.000000   0.000000 
  0.083333   0.055556   0.006944   0.000000 
  0.051136   0.022727   0.001894   0.000000 
  0.085714   0.025974   0.003463   0.000000 
  0.137170   0.029703   0.007946   0.000000 
  0.132197   0.031672   0.008266   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.122750   0.033668   0.012629   0.000000 
  0.044444   0.011111   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.044444   0.000000   0.000000   0.000000 
  0.174375   0.030000   0.003129   0.000000 
  0.087719   0.017544   0.000000   0.000000 
  0.131868   0.032967   0.000000   0.000000 
  0.097561   0.038415   0.009756   0.000000 
  0.103194   0.009828   0.001229   0.000000 
  0.092879   0.006192   0.000000   0.000000 
  0.163804   0.030992   0.015500   0.000000 
  0.051760   0.031056   0.004141   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.191716   0.026509   0.004270   0.000000 
  0.030000   0.005000   0.000000   0.000000 
  0.130682   0.022727   0.003030   0.000000 
  0.098901   0.032967   0.000000   0.000000 
  0.011696   0.008772   0.000000   0.000000 
  0.071429   0.047619   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.027778   0.000000   0.000000   0.000000 
  0.111235   0.033370   0.004449   0.000000 
  0.076923   0.009615   0.000712   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.080645   0.030242   0.002016   0.000000 
  0.027778   0.000000   0.000000   0.000000 
  0.232860   0.025963   0.003246   0.000000 
  0.123457   0.123457   0.024691   0.000000 
  0.048583   0.013495   0.000675   0.000000 
  0.109804   0.016227   0.004058   0.000000 
  0.107639   0.012821   0.001068   0.000000 
  0.013333   0.002222   0.000000   0.000000 
  0.101449   0.008282   0.004141   0.000000 
  0.203704   0.064103   0.025641   0.000000 
  0.022222   0.000000   0.000000   0.000000 
  0.123077   0.000000   0.000000   0.000000 
  0.162319   0.011594   0.000966   0.000000 
  0.152244   0.016827   0.004010   0.000000 
  0.174825   0.018731   0.002622   0.000000 
  0.083333   0.000000   0.000000   0.000000 
  0.075000   0.019048   0.000000   0.000000 
  0.052632   0.023392   0.000000   0.000000 
  0.033333   0.022222   0.000000   0.000000 
