Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   S/sqrt(B)(gamma cuts(pt+p+eta))  
0.00000e+00   0.00000e+00   1.97803e-09   8.42701e-02   6.81390e-09  
0.00000e+00   5.00000e-01   1.67633e-09   5.90132e-02   6.90058e-09  
0.00000e+00   1.00000e+00   1.46769e-09   4.25715e-02   7.11337e-09  
0.00000e+00   1.50000e+00   1.37502e-09   3.17645e-02   7.71506e-09  
0.00000e+00   2.00000e+00   1.29641e-09   2.49228e-02   8.21193e-09  
0.00000e+00   2.50000e+00   1.22748e-09   2.03440e-02   8.60590e-09  
0.00000e+00   3.00000e+00   1.07667e-09   1.70005e-02   8.25754e-09  
0.00000e+00   3.50000e+00   9.43462e-10   1.44202e-02   7.85668e-09  
0.00000e+00   4.00000e+00   9.33593e-10   1.22827e-02   8.42387e-09  
0.00000e+00   4.50000e+00   9.60997e-10   1.05139e-02   9.37218e-09  
0.00000e+00   5.00000e+00   9.69590e-10   8.96788e-03   1.02387e-08  
0.00000e+00   5.50000e+00   9.36449e-10   7.74048e-03   1.06439e-08  
0.00000e+00   6.00000e+00   9.40775e-10   6.74636e-03   1.14538e-08  
0.00000e+00   6.50000e+00   9.25917e-10   5.87757e-03   1.20774e-08  
0.00000e+00   7.00000e+00   9.42222e-10   5.21003e-03   1.30537e-08  
0.00000e+00   7.50000e+00   8.82384e-10   4.63939e-03   1.29547e-08  
0.00000e+00   8.00000e+00   7.72184e-10   4.08997e-03   1.20743e-08  
0.00000e+00   8.50000e+00   6.69453e-10   3.62710e-03   1.11158e-08  
0.00000e+00   9.00000e+00   6.67800e-10   3.21023e-03   1.17863e-08  
0.00000e+00   9.50000e+00   6.73997e-10   2.85579e-03   1.26123e-08  
5.00000e-02   0.00000e+00   1.61855e-09   5.09241e-02   7.17241e-09  
5.00000e-02   5.00000e-01   1.55518e-09   4.65959e-02   7.20453e-09  
5.00000e-02   1.00000e+00   1.40408e-09   3.77368e-02   7.22787e-09  
5.00000e-02   1.50000e+00   1.35255e-09   3.05510e-02   7.73820e-09  
5.00000e-02   2.00000e+00   1.28336e-09   2.48351e-02   8.14355e-09  
5.00000e-02   2.50000e+00   1.22748e-09   2.03440e-02   8.60590e-09  
5.00000e-02   3.00000e+00   1.07667e-09   1.70005e-02   8.25754e-09  
5.00000e-02   3.50000e+00   9.43462e-10   1.44202e-02   7.85668e-09  
5.00000e-02   4.00000e+00   9.33593e-10   1.22827e-02   8.42387e-09  
5.00000e-02   4.50000e+00   9.60997e-10   1.05139e-02   9.37218e-09  
5.00000e-02   5.00000e+00   9.69590e-10   8.96788e-03   1.02387e-08  
5.00000e-02   5.50000e+00   9.36449e-10   7.74048e-03   1.06439e-08  
5.00000e-02   6.00000e+00   9.40775e-10   6.74636e-03   1.14538e-08  
5.00000e-02   6.50000e+00   9.25917e-10   5.87757e-03   1.20774e-08  
5.00000e-02   7.00000e+00   9.42222e-10   5.21003e-03   1.30537e-08  
5.00000e-02   7.50000e+00   8.82384e-10   4.63939e-03   1.29547e-08  
5.00000e-02   8.00000e+00   7.72184e-10   4.08997e-03   1.20743e-08  
5.00000e-02   8.50000e+00   6.69453e-10   3.62710e-03   1.11158e-08  
5.00000e-02   9.00000e+00   6.67800e-10   3.21023e-03   1.17863e-08  
5.00000e-02   9.50000e+00   6.73997e-10   2.85579e-03   1.26123e-08  
1.00000e-01   0.00000e+00   1.31367e-09   2.82915e-02   7.81015e-09  
1.00000e-01   5.00000e-01   1.31367e-09   2.82858e-02   7.81094e-09  
1.00000e-01   1.00000e+00   1.27968e-09   2.67446e-02   7.82500e-09  
1.00000e-01   1.50000e+00   1.26917e-09   2.38153e-02   8.22417e-09  
1.00000e-01   2.00000e+00   1.24703e-09   2.09020e-02   8.62545e-09  
1.00000e-01   2.50000e+00   1.22733e-09   1.82527e-02   9.08445e-09  
1.00000e-01   3.00000e+00   1.06844e-09   1.59658e-02   8.45579e-09  
1.00000e-01   3.50000e+00   9.44718e-10   1.39796e-02   7.99015e-09  
1.00000e-01   4.00000e+00   9.33593e-10   1.21824e-02   8.45846e-09  
1.00000e-01   4.50000e+00   9.60997e-10   1.05139e-02   9.37218e-09  
1.00000e-01   5.00000e+00   9.69590e-10   8.96788e-03   1.02387e-08  
1.00000e-01   5.50000e+00   9.36449e-10   7.74048e-03   1.06439e-08  
1.00000e-01   6.00000e+00   9.40775e-10   6.74636e-03   1.14538e-08  
1.00000e-01   6.50000e+00   9.25917e-10   5.87757e-03   1.20774e-08  
1.00000e-01   7.00000e+00   9.42222e-10   5.21003e-03   1.30537e-08  
1.00000e-01   7.50000e+00   8.82384e-10   4.63939e-03   1.29547e-08  
1.00000e-01   8.00000e+00   7.72184e-10   4.08997e-03   1.20743e-08  
1.00000e-01   8.50000e+00   6.69453e-10   3.62710e-03   1.11158e-08  
1.00000e-01   9.00000e+00   6.67800e-10   3.21023e-03   1.17863e-08  
1.00000e-01   9.50000e+00   6.73997e-10   2.85579e-03   1.26123e-08  
1.50000e-01   0.00000e+00   1.13318e-09   1.76066e-02   8.54004e-09  
1.50000e-01   5.00000e-01   1.13318e-09   1.76066e-02   8.54004e-09  
1.50000e-01   1.00000e+00   1.11786e-09   1.75541e-02   8.43723e-09  
1.50000e-01   1.50000e+00   1.12411e-09   1.69097e-02   8.64455e-09  
1.50000e-01   2.00000e+00   1.14112e-09   1.57964e-02   9.07932e-09  
1.50000e-01   2.50000e+00   1.15163e-09   1.43611e-02   9.60994e-09  
1.50000e-01   3.00000e+00   1.04482e-09   1.29747e-02   9.17260e-09  
1.50000e-01   3.50000e+00   9.30861e-10   1.16604e-02   8.62041e-09  
1.50000e-01   4.00000e+00   9.22675e-10   1.05105e-02   8.99987e-09  
1.50000e-01   4.50000e+00   9.42418e-10   9.48259e-03   9.67788e-09  
1.50000e-01   5.00000e+00   9.61495e-10   8.48456e-03   1.04384e-08  
1.50000e-01   5.50000e+00   9.26376e-10   7.54072e-03   1.06679e-08  
1.50000e-01   6.00000e+00   9.41541e-10   6.66963e-03   1.15289e-08  
1.50000e-01   6.50000e+00   9.25917e-10   5.86606e-03   1.20892e-08  
1.50000e-01   7.00000e+00   9.42222e-10   5.21003e-03   1.30537e-08  
1.50000e-01   7.50000e+00   8.82384e-10   4.63939e-03   1.29547e-08  
1.50000e-01   8.00000e+00   7.72184e-10   4.08997e-03   1.20743e-08  
1.50000e-01   8.50000e+00   6.69453e-10   3.62710e-03   1.11158e-08  
1.50000e-01   9.00000e+00   6.67800e-10   3.21023e-03   1.17863e-08  
1.50000e-01   9.50000e+00   6.73997e-10   2.85579e-03   1.26123e-08  
2.00000e-01   0.00000e+00   1.12083e-09   1.16639e-02   1.03781e-08  
2.00000e-01   5.00000e-01   1.12083e-09   1.16639e-02   1.03781e-08  
2.00000e-01   1.00000e+00   1.12083e-09   1.16639e-02   1.03781e-08  
2.00000e-01   1.50000e+00   1.12159e-09   1.16210e-02   1.04043e-08  
2.00000e-01   2.00000e+00   1.12615e-09   1.13034e-02   1.05923e-08  
2.00000e-01   2.50000e+00   1.11921e-09   1.07707e-02   1.07842e-08  
2.00000e-01   3.00000e+00   1.00379e-09   1.00540e-02   1.00109e-08  
2.00000e-01   3.50000e+00   9.27288e-10   9.29623e-03   9.61748e-09  
2.00000e-01   4.00000e+00   9.39647e-10   8.55701e-03   1.01579e-08  
2.00000e-01   4.50000e+00   9.55650e-10   7.85411e-03   1.07833e-08  
2.00000e-01   5.00000e+00   9.68951e-10   7.17081e-03   1.14424e-08  
