Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))    misID(gamma cuts(pt+p+eta))    S/sqrt(B+misID)(gamma cuts(pt+p+eta))    S/sqrt(misID)(gamma cuts(pt+p+eta)) 
0.00000e+00   0.00000e+00   6.51023e-04   4.42680e-01   1.39262e+00   3.09167e-01   5.51671e-04   1.17085e-03  
0.00000e+00   1.00000e-01   6.41337e-04   4.41130e-01   1.37174e+00   3.04406e-01   5.47584e-04   1.16241e-03  
0.00000e+00   2.00000e-01   6.17680e-04   4.38030e-01   1.31077e+00   2.82814e-01   5.39510e-04   1.16148e-03  
0.00000e+00   3.00000e-01   5.92906e-04   4.32760e-01   1.24927e+00   2.62544e-01   5.30465e-04   1.15714e-03  
0.00000e+00   4.00000e-01   5.73347e-04   4.28110e-01   1.19918e+00   2.45004e-01   5.23570e-04   1.15833e-03  
0.00000e+00   5.00000e-01   5.51367e-04   4.21910e-01   1.14727e+00   2.29670e-01   5.14764e-04   1.15051e-03  
0.00000e+00   6.00000e-01   5.35906e-04   4.18810e-01   1.10799e+00   2.16123e-01   5.09120e-04   1.15276e-03  
0.00000e+00   7.00000e-01   5.21005e-04   4.16640e-01   1.07095e+00   2.03877e-01   5.03451e-04   1.15387e-03  
0.00000e+00   8.00000e-01   5.06848e-04   4.14160e-01   1.03639e+00   1.92877e-01   4.97871e-04   1.15408e-03  
0.00000e+00   9.00000e-01   4.90270e-04   4.08270e-01   9.98435e-01   1.82515e-01   4.90654e-04   1.14759e-03  
0.00000e+00   1.00000e+00   4.79652e-04   4.03620e-01   9.71252e-01   1.73002e-01   4.86699e-04   1.15319e-03  
0.00000e+00   1.10000e+00   4.69407e-04   4.00520e-01   9.45465e-01   1.64265e-01   4.82755e-04   1.15818e-03  
0.00000e+00   1.20000e+00   4.59162e-04   3.98350e-01   9.20030e-01   1.55880e-01   4.78702e-04   1.16298e-03  
0.00000e+00   1.30000e+00   4.47986e-04   3.94630e-01   8.94103e-01   1.48553e-01   4.73773e-04   1.16231e-03  
