Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   misID(gamma cuts(pt+p+eta))   S/B_EM(gamma cuts(pt+p+eta))  S/sqrt(B+misID)(gamma cuts(pt+p+eta))  
0.00000e+00   0.00000e+00   4.00505e-04   2.21030e-01   9.67813e-01   4.16943e-01   4.07110e-04   6.20254e-04  
0.00000e+00   1.00000e-01   3.90813e-04   2.20720e-01   9.43188e-01   4.05648e-01   4.02411e-04   6.13613e-04  
0.00000e+00   2.00000e-01   3.75037e-04   2.18860e-01   8.89636e-01   3.73796e-01   3.97619e-04   6.13418e-04  
0.00000e+00   3.00000e-01   3.63317e-04   2.16690e-01   8.45640e-01   3.45920e-01   3.95087e-04   6.17728e-04  
0.00000e+00   4.00000e-01   3.50695e-04   2.14520e-01   8.04144e-01   3.21784e-01   3.91078e-04   6.18226e-04  
0.00000e+00   5.00000e-01   3.38299e-04   2.12350e-01   7.66415e-01   3.01105e-01   3.86429e-04   6.16513e-04  
0.00000e+00   6.00000e-01   3.31312e-04   2.11730e-01   7.38081e-01   2.82381e-01   3.85643e-04   6.23477e-04  
0.00000e+00   7.00000e-01   3.19142e-04   2.07080e-01   7.04717e-01   2.65757e-01   3.80169e-04   6.19073e-04  
0.00000e+00   8.00000e-01   3.10803e-04   2.06460e-01   6.77631e-01   2.50141e-01   3.77562e-04   6.21430e-04  
0.00000e+00   9.00000e-01   3.02463e-04   2.04290e-01   6.52325e-01   2.36305e-01   3.74490e-04   6.22209e-04  
0.00000e+00   1.00000e+00   2.94350e-04   2.01500e-01   6.28504e-01   2.23644e-01   3.71287e-04   6.22421e-04  
0.00000e+00   1.10000e+00   2.88490e-04   1.98710e-01   6.08779e-01   2.11979e-01   3.69744e-04   6.26591e-04  
0.00000e+00   1.20000e+00   2.81277e-04   1.97780e-01   5.88074e-01   2.01194e-01   3.66791e-04   6.27087e-04  
0.00000e+00   1.30000e+00   2.78122e-04   1.97160e-01   5.74205e-01   1.91665e-01   3.67031e-04   6.35279e-04  
0.00000e+00   1.40000e+00   2.73840e-04   1.95610e-01   5.59480e-01   1.82830e-01   3.66104e-04   6.40432e-04  
0.00000e+00   1.50000e+00   2.68205e-04   1.93750e-01   5.43414e-01   1.74514e-01   3.63833e-04   6.42025e-04  
0.00000e+00   1.60000e+00   2.64599e-04   1.92820e-01   5.31157e-01   1.67217e-01   3.63059e-04   6.47066e-04  
0.00000e+00   1.70000e+00   2.60993e-04   1.91270e-01   5.19441e-01   1.60461e-01   3.62127e-04   6.51544e-04  
0.00000e+00   1.80000e+00   2.57162e-04   1.90340e-01   5.08144e-01   1.54434e-01   3.60755e-04   6.54386e-04  
0.00000e+00   1.90000e+00   2.54006e-04   1.89100e-01   4.98021e-01   1.48651e-01   3.59932e-04   6.58811e-04  
0.00000e+00   2.00000e+00   2.49273e-04   1.87240e-01   4.85894e-01   1.43034e-01   3.57606e-04   6.59108e-04  
0.00000e+00   2.10000e+00   2.45216e-04   1.86000e-01   4.75110e-01   1.37830e-01   3.55756e-04   6.60507e-04  
0.00000e+00   2.20000e+00   2.41385e-04   1.84450e-01   4.65014e-01   1.33004e-01   3.53979e-04   6.61878e-04  
0.00000e+00   2.30000e+00   2.38004e-04   1.83830e-01   4.55847e-01   1.28487e-01   3.52513e-04   6.63981e-04  
0.00000e+00   2.40000e+00   2.35976e-04   1.82900e-01   4.48792e-01   1.24222e-01   3.52245e-04   6.69525e-04  
0.00000e+00   2.50000e+00   2.32369e-04   1.81350e-01   4.39752e-01   1.20142e-01   3.50409e-04   6.70396e-04  
0.00000e+00   2.60000e+00   2.29214e-04   1.79800e-01   4.31627e-01   1.16357e-01   3.48889e-04   6.71962e-04  
0.00000e+00   2.70000e+00   2.26960e-04   1.79490e-01   4.24924e-01   1.12754e-01   3.48172e-04   6.75903e-04  
0.00000e+00   2.80000e+00   2.24706e-04   1.78250e-01   4.18420e-01   1.09350e-01   3.47384e-04   6.79527e-04  
0.00000e+00   2.90000e+00   2.22678e-04   1.77010e-01   4.12367e-01   1.06087e-01   3.46765e-04   6.83668e-04  
0.00000e+00   3.00000e+00   2.19748e-04   1.75770e-01   4.05231e-01   1.02981e-01   3.45202e-04   6.84773e-04  
0.00000e+00   3.10000e+00   2.14564e-04   1.70500e-01   3.95152e-01   1.00032e-01   3.41331e-04   6.78402e-04  
0.00000e+00   3.20000e+00   2.12987e-04   1.69260e-01   3.89994e-01   9.70441e-02   3.41054e-04   6.83703e-04  
0.00000e+00   3.30000e+00   2.10958e-04   1.68330e-01   3.84403e-01   9.42428e-02   3.40254e-04   6.87183e-04  
0.00000e+00   3.40000e+00   2.10057e-04   1.67400e-01   3.80625e-01   9.17051e-02   3.40477e-04   6.93649e-04  
0.00000e+00   3.50000e+00   2.08930e-04   1.67090e-01   3.76540e-01   8.91702e-02   3.40482e-04   6.99665e-04  
0.00000e+00   3.60000e+00   2.07577e-04   1.66470e-01   3.72329e-01   8.68189e-02   3.40186e-04   7.04487e-04  
0.00000e+00   3.70000e+00   2.06000e-04   1.65850e-01   3.67958e-01   8.46184e-02   3.39600e-04   7.08165e-04  
0.00000e+00   3.80000e+00   2.03520e-04   1.63990e-01   3.62330e-01   8.24003e-02   3.38108e-04   7.08996e-04  
0.00000e+00   3.90000e+00   2.02168e-04   1.63060e-01   3.58301e-01   8.02311e-02   3.37745e-04   7.13743e-04  
0.00000e+00   4.00000e+00   1.99013e-04   1.62130e-01   3.51806e-01   7.80756e-02   3.35529e-04   7.12235e-04  
0.00000e+00   4.10000e+00   1.95857e-04   1.59340e-01   3.45516e-01   7.61261e-02   3.33201e-04   7.09861e-04  
0.00000e+00   4.20000e+00   1.93829e-04   1.57480e-01   3.40825e-01   7.42246e-02   3.32012e-04   7.11451e-04  
0.00000e+00   4.30000e+00   1.92026e-04   1.56240e-01   3.36613e-01   7.24929e-02   3.30975e-04   7.13201e-04  
0.00000e+00   4.40000e+00   1.91350e-04   1.55620e-01   3.33910e-01   7.07199e-02   3.31141e-04   7.19544e-04  
0.00000e+00   4.50000e+00   1.89321e-04   1.54070e-01   3.29410e-01   6.90097e-02   3.29861e-04   7.20684e-04  
0.00000e+00   4.60000e+00   1.87744e-04   1.52830e-01   3.25578e-01   6.73479e-02   3.29032e-04   7.23441e-04  
0.00000e+00   4.70000e+00   1.86391e-04   1.51900e-01   3.22058e-01   6.56878e-02   3.28442e-04   7.27250e-04  
0.00000e+00   4.80000e+00   1.85490e-04   1.51590e-01   3.19289e-01   6.41587e-02   3.28268e-04   7.32306e-04  
0.00000e+00   4.90000e+00   1.83461e-04   1.50970e-01   3.15044e-01   6.27040e-02   3.26858e-04   7.32651e-04  
0.00000e+00   5.00000e+00   1.83011e-04   1.50350e-01   3.12997e-01   6.12772e-02   3.27119e-04   7.39311e-04  
0.00000e+00   5.10000e+00   1.80982e-04   1.49730e-01   3.08685e-01   5.97546e-02   3.25746e-04   7.40373e-04  
0.00000e+00   5.20000e+00   1.79630e-04   1.48180e-01   3.05453e-01   5.83828e-02   3.25017e-04   7.43423e-04  
0.00000e+00   5.30000e+00   1.78503e-04   1.46940e-01   3.02561e-01   5.70410e-02   3.24518e-04   7.47398e-04  
0.00000e+00   5.40000e+00   1.76249e-04   1.46010e-01   2.98159e-01   5.57393e-02   3.22777e-04   7.46529e-04  
0.00000e+00   5.50000e+00   1.74446e-04   1.43840e-01   2.94427e-01   5.44875e-02   3.21494e-04   7.47331e-04  
0.00000e+00   5.60000e+00   1.73545e-04   1.43840e-01   2.91958e-01   5.32581e-02   3.21182e-04   7.52001e-04  
0.00000e+00   5.70000e+00   1.71742e-04   1.41980e-01   2.88376e-01   5.21561e-02   3.19813e-04   7.52008e-04  
0.00000e+00   5.80000e+00   1.68361e-04   1.40430e-01   2.82547e-01   5.09765e-02   3.16735e-04   7.45686e-04  
0.00000e+00   5.90000e+00   1.66783e-04   1.39190e-01   2.79339e-01   4.99387e-02   3.15563e-04   7.46334e-04  
0.00000e+00   6.00000e+00   1.66107e-04   1.38570e-01   2.77394e-01   4.89243e-02   3.15384e-04   7.50975e-04  
0.00000e+00   6.10000e+00   1.64980e-04   1.37330e-01   2.74865e-01   4.79453e-02   3.14682e-04   7.53457e-04  
0.00000e+00   6.20000e+00   1.62726e-04   1.35160e-01   2.70752e-01   4.69317e-02   3.12732e-04   7.51146e-04  
0.00000e+00   6.30000e+00   1.61599e-04   1.33920e-01   2.68156e-01   4.58863e-02   3.12065e-04   7.54394e-04  
0.00000e+00   6.40000e+00   1.60472e-04   1.33300e-01   2.65704e-01   4.49838e-02   3.11316e-04   7.56610e-04  
